Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,CoinedWord,Sender_Title,Closing_Remarks,Sender_Email,Logo,To,Label
Opcuanet - (Annual Conference Topic Suggestions),doc link,2020-01-09,1.10pm,tue,display full email,"conference, education",Y,,Y,,B,1
ÊIntuit Support: Action Required,Your bank retuned the direct deposit for the payroll,2020-01-09,2.29pm,tue,,"action, required, payroll, bank",Y,,Y,,B,1
ÊCc: (RE: Workshop at John Carroll University this Saturday),link for email opning,2020-01-09,8.20am,tue,display full email,workshop,,,,,B,1
ATC/PTA Program,see attached below,2020-01-09,2.08pm,tue,Lawsui case file: CF-416523.pdf,progran,Y,,Y,,B,1
message notification,one drive ,2020-01-09,3.02pm,mon,go to onedrive,"notification, file",Y,,Y,one drive,B,1
Lesson Coach Needed,looking for hiring coach,2020-01-09,12.13pm,mon,,"job, needed, hire, available",Y,Regard,Y,,B,1
INVOICE#89774-DOC,one drive message,2020-01-09,9.11am,mon,reqeest link,"invoice, shared",Y,,Y,,B,1
Re: Correct shipment info needed.,"package, delivery address, seems incorrect",2020-01-09,8.11am,mon,delivery address from,"shipment, incorrect, delivery",Y,,Y,,B,1
Action required: Confirm your info to keep a PayPal Balance,paymal money sending issue,2020-01-09,02.00AM EST,tue,confirm your info here,"required, cofirm, action, money, account",Y,,Y,,B,1
You have new Google Drive Doc message,shared document,2020-01-09,11.52AM,sat,view document,"file, share,docx",Y,,Y,Google Drive,B,1
Your Earning For March 2019.,payroll earning statement for direct deposit available,2020-01-09,5.13AM,fri,,"payroll, statement, admin",Y,,Y,,B,1
1KH0/613FV1/USA,cancel surgery,2020-01-09,4.38PM,thur,,diseases,Y,Yours ,Y,,B,1
Call Delivery note from Trusted Source,new voice ,2020-01-09,9.17am,thur,Download,"file, share,docx",Y,,Y,,B,1
View Secure PDF,has sent you your important document,2020-01-09,8.03am,thur,view in one drive,"secure, review",Y,Regards,Y,,B,1
ÊListen to Voicenote,voicemessage notification,2020-01-09,12.42am,thur,,notification,Y,,Y,,B,1
Terms of Service.,your document has been completed,2020-01-09,1.41pm,wed,view complete document,"closing, attachment",,,,,B,1
Preliminary CD and Other Closing Docs Attached Closing Set for 03/08/2019,your document has been completed,2020-01-09,1.41pm,wed,view complete document,"closing, attachment",,,,,B,1
Notification,ms verification alert,2020-01-09,9.43am,wed,,"verification, notification, update, account, deleted,",Y,Regards!,Y,,B,1
Urgent Account Notice,your mailboc failed to sync,2020-01-09,5.20am,tue,URL Redacted,"urgent, notice, account, failed, password, ",Y,,Y,,B,1
YOUR DIPLOMATIC PACKAGE,"package deposit, realiability",2020-01-09,5.22am,sun,,"notify, package, ",Y,"Thank you and I sincerely Remain,",Y,,B,1
Payroll Earning Statement for March 2019,"earning statement, parroll website",2020-01-09,5.56am,fri,URL Redacted,"account, payroll, statement, employee",,,,,B,1
Êsent you a document to review and sign,document,2020-01-09,11.27am,thur,review document,"review, sign",,,,DocuSign,B,1
Email Notification ( Treat Urgent ),email account recently signed,2020-01-09,12.43pm,fri,plick click here for verication to avoid ,notification,,,,,B,1
(Secure Message) Re: Reminder : invoice 81736265,secure email,2020-01-09,15.13 EST,tue,open secure email,"invoice, secure",Y,Y,Y,,B,1
Ê(Secure Email) Re: Open Invoice MR87103,secure email,2020-01-09,9.47am,tue,open secure email,"secure, invoice",Y,Y,Y,,B,1
"[Reminder] Messages Delayed on kent.edu Email Account Today, 26 Feb 2019. Acc Id:22683aBHnH",doc attached,2020-01-09,12.29pm,tue,confirm,"confirm, delay",Y,Y,Y,office 365,B,1
Êimportant (re: Will you be one of the 15 for KSU student-athletes?),message attached,2020-01-09,4.27am,tue,open message,"important, ",Y,Y,Y,,B,1
Tansaction Refund from Patti,refund confirmation,2020-01-09,2.59pm,fri,get RFF receipt,"refund, transaction, confirmation, payment",Y,Y,Y,,B,1
"Ê[IMPORTANCE] Password Verification on kent.edu Email Account Today, 22 Feb 2019. Acc Id:42775V65yf","one time confirmation,",2020-01-09,11.26am,fri,confirm here,"verification, account, confirmation",Y,Y,Y,microsoft,B,1
New Message from a Caller,voice message for you,2020-01-09,10.16am,fri,review audio,"message, ",Y,Y,Y,,B,1
Transaction for invoice 36726579,thanks for working with us,2020-01-09,12.12pm,thur,link url,"transaction, payment, account, invoice",Y,Y,Y,, B,1
Purchasing Order #0361,this is purchasing order,2020-01-09,11.53am,tue,download,"purchasing, order, request",Y,Thank you,Y,,B,1
"Ian shared ""eVoice Message"" with you.",doc attached,2020-01-09,2.30pm,thur,open,"shared, message",Y,,Y,Microsoft,B,1
Your incoming email delivery reports,email ,2020-01-09,4.49pm,wed,,report,y,,Y,,B,1
new file,file,2020-01-09,11.54am,wed,go to onedrive,review,Y,,Y,Microsoft,B,1
Invoice Due,file for invoice,2020-01-09,11.26am,wed,go to onedrive,"review, sign",Y,,Y,Microsoft,B,1
Your incoming email delivery reports,file,2020-01-09,7.20pm,tue,,"delivery, report",Y,,Y,,B,1
Notification Release Letter,filr,2020-01-09,9.10am,tue,,"notification, required, action, delayed",Y,Na,Y,office365,B,1
URGENT,are you at office,2020-01-09,3.59Pm,thur,,"urgent,",Y,,Y,,B,1
Payment from,this is your information today,2020-01-09,7.45am,thur,URL Redacted,"payment,notice, ",,"Best Regards,",,,B,1
Sales Contract PO:#224906999,2 new message,2020-01-09,9.32am,tue,review ,"sales, review",Y,thanks,Y,,B,1
new bill from Ian,your bill is here,2020-01-09,2.15pm,tue,invoice connect,"bill, ",Y,thank you,Y,,B,1
Re: Payment Invoice,please check your ,2020-01-09,2.17am EST,tue,,"invoice, payment",Y,Thank you,Y,,B,1
KSU Infringement,"email has been reposted , regulation",2020-01-09,11.21am EST,tue,URL Redacted,"reported, regulations, policies",Y,Sincerely,Y,,B,1
We recieved your request,request to deactivate,2020-01-09,2.11pm,tue,cancel,"request, cancel, deactivate, ",Y,,Y,offcie 365,B,1
